"",".pred","actual"
"81",0.1213435,0.061
"82",0.0570546666666667,0.015
"83",0.132800816666667,0.0955
"84",0.114458066666667,0.049
"85",0.0477053333333333,0.0305
"86",0.0571736666666668,0.075
"87",0.0398108833333333,0.037
"88",0.0403646,0.015
"89",0.0396025166666666,0.015
"90",0.0377532666666667,0.015
"91",0.0762166166666666,0.106
"92",0.110602566666667,0.218
"93",0.21248325,0.223
"94",0.0932267500000001,0.0975
"95",0.0518000333333333,0.062
"96",0.0581354333333333,0.054
"97",0.0766680833333333,0.0205
"98",0.05502985,0.0585
"99",0.2374856,0.299
"100",0.314035616666666,0.334
"101",0.329432533333333,0.385
"102",0.335326783333333,0.358
"103",0.11557035,0.123
"104",0.161557483333333,0.221
"105",0.168159333333333,0.16
"106",0.114550116666667,0.116
"107",0.113980433333333,0.063
"108",0.0551671,0.0515
"109",0.0596319,0.0495
"110",0.0879544333333335,0.095
"111",0.1011158,0.114
"112",0.0727059333333333,0.051
"113",0.160325166666667,0.278
"114",0.159358446666667,0.21
"115",0.118623533333333,0.08
"116",0.137452816666667,0.127
"117",0.15849085,0.15
"118",0.169127866666667,0.162
"119",0.164416583333333,0.063
"120",0.27260385,0.351
"121",0.180016533333334,0.016
"122",0.1978637,0.052
"123",0.0943389,0.0935
"124",0.129811016666667,0.13
"125",0.18371665,0.16
"126",0.0967532833333334,0.088
"127",0.103095533333333,0.118
"128",0.22249445,0.3275
"129",0.0481882666666667,0.026
"130",0.0623755833333333,0.0275
"131",0.0486421666666667,0.0325
"132",0.100667283333334,0.119
"133",0.0906683833333333,0.078
"134",0.0801795,0.103
"135",0.0633171666666668,0.056
"136",0.0998660666666668,0.1
"137",0.0978402666666668,0.085
"138",0.08769835,0.0795
"139",0.0553791333333332,0.054
"140",0.0592257666666665,0.064
"141",0.1384936,0.1405
"142",0.195754866666666,0.173
"143",0.163269016666667,0.132
"144",0.122495766666667,0.077
"145",0.106054983333334,0.168
"146",0.0447820833333333,0.045
"147",0.0239313333333333,0.012
"148",0.14986675,0.0925
"149",0.130279086666667,0.0665
"150",0.463573233333333,0.549
"151",0.406784516666667,0.369
"152",0.537147200000001,0.564
"153",0.0894698100000001,0.026
"154",0.10535293,0.153
"155",0.1188487,0.1915
"156",0.06580291,0.034
"157",0.107569216666667,0.145
"158",0.0626607999999999,0.029
"159",0.126646396666667,0.1615
"160",0.0664301499999999,0.082
"161",0.0421271166666666,0.042
"162",0.0452907166666667,0.038
"163",0.0597538833333334,0.0345
"164",0.111376966666667,0.261
"165",0.115724883333333,0.125
"166",0.115873516666667,0.128
"167",0.110147883333334,0.108
"168",0.0869213000000001,0.066
"169",0.138127293333333,0.0985
"170",0.0947451500000001,0.1
"171",0.114055483333333,0.11
"172",0.124072716666667,0.108
"173",0.1116419,0.12
"174",0.0571734833333333,0.0385
"175",0.116709933333333,0.0285
"176",0.0560692333333334,0.054
"177",0.0569414333333333,0.044
"178",0.0807748166666665,0.083
"179",0.07956095,0.0995
"180",0.100798366666667,0.108
"181",0.0994101833333335,0.099
"182",0.0362663666666666,0.0255
"183",0.194032766666667,0.018
"184",0.0265132833333333,0.021
"185",0.0795013666666668,0.099
"186",0.0419432166666666,0.085
"187",0.0444744666666666,0.036
"188",0.107972366666667,0.3085
"189",0.134485783333333,0.263
"190",0.169773783333333,0.245
"191",0.0188546666666666,0.013
"192",0.0219033,0.012
"193",0.145915916666667,0.138
